ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
10665	34,20,29,24,25	0,4,1,0,0	35,24,42,37,21	0,0,4,1,0	154	-1
10666	50,38,61,49,34	0,0,0,0,0	49,41,45,56,28	0,2,0,0,0	131	-1
10668	0,0,0,0,0	0,0,1,0,2	2,0,0,1,0	0,0,0,1,1	38	-1
10669	0,1,3,0,1	0,0,1,1,0	4,3,6,6,3	3,1,4,8,7	38	-1
10670	11,10,9,10,12	0,0,1,0,0	64,51,53,74,41	1,0,0,1,0	177	-1
10671	8,8,12,10,7	0,0,0,0,0	53,30,78,39,46	0,0,0,2,0	91	-1
10672	14,10,11,8,10	0,0,0,0,1	41,27,48,40,24	0,0,0,0,0	97	-1
10673	23,23,34,28,14	0,1,0,0,0	72,42,95,61,50	0,3,0,0,0	167	-1
10674	2,5,2,8,4	17,14,21,11,19	5,5,1,5,2	19,15,22,25,8	60	-1
10675	35,39,39,45,40	2,3,0,0,1	39,36,59,43,19	0,0,0,2,0	365	-1
10683	12,6,7,9,2	0,0,0,0,0	77,43,65,53,41	0,0,2,0,0	151	-1
10684	16,25,16,20,20	0,0,0,0,0	85,105,153,148,86	4,0,0,0,1	102	-1
10685	0,0,0,0,0	0,1,3,0,0	3,5,2,4,0	11,7,25,12,8	148	-1
10686	30,47,61,48,44	0,0,0,0,0	59,47,78,62,44	0,0,0,0,1	118	-1
10687	24,29,27,28,21	0,0,0,0,1	43,17,70,43,30	0,0,0,0,0	68	-1
10688	12,14,11,16,3	0,0,0,0,0	22,4,29,23,8	0,3,1,1,1	68	-1
10689	5,6,2,7,3	0,0,0,0,0	14,10,13,10,8	0,3,1,1,1	44	-1
10690	18,24,19,22,21	0,3,1,3,0	36,23,55,33,30	1,0,1,3,0	44	-1
10691	9,7,3,15,9	1,0,0,0,0	20,16,28,20,9	3,0,0,0,0	77	-1
10692	32,25,41,35,37	1,0,0,0,0	64,66,88,81,56	0,0,0,0,0	142	-1
10697	2,4,1,0,5	28,39,40,46,53	1,4,8,3,0	23,33,25,24,9	36	-1
10698	0,2,0,0,3	0,0,0,0,0	0,1,1,0,3	0,0,1,0,1	125	-1
10699	0,0,1,0,0	5,6,5,11,4	2,2,5,2,2	13,19,32,18,16	168	-1
10700	23,13,23,24,18	0,0,0,1,0	24,9,21,31,14	0,0,0,0,0	128	-1
10701	0,1,0,0,1	0,0,0,0,0	2,2,9,6,2	2,0,0,0,0	77	-1
10702	2,1,0,0,1	0,0,0,0,0	5,2,4,6,7	0,0,0,0,1	70	-1
10703	1,0,0,1,1	0,0,0,0,0	5,2,3,5,4	1,0,0,0,0	84	-1
10704	1,0,0,1,1	0,0,0,0,0	7,7,5,8,9	1,0,0,0,0	100	-1
10707	28,19,21,27,53	12,11,20,21,24	124,67,46,95,53	32,29,25,42,27	106	-1
10709	945,1374,1255,1413,1499	0,0,0,0,1	1129,1266,1344,1274,1284	0,0,0,0,0	141	-1
10710	613,843,757,829,856	1,1,0,1,0	897,982,1040,1001,959	0,0,0,0,0	240	-1
10711	6805,9002,11307,9200,8031	2,1,1,1,1	5607,5684,6845,8404,5432	0,1,3,1,1	101	-1
10712	0,0,1,2,0	0,0,0,0,0	0,6,0,0,0	0,0,0,0,1	229	-1
10713	7,2,4,5,0	1,0,0,0,0	27,33,36,25,27	0,0,0,0,0	39	-1
10714	10,19,15,10,7	1,0,0,0,1	16,15,26,16,23	1,0,1,0,0	65	-1
10718	138,151,169,184,141	0,0,0,0,0	191,273,286,205,157	1,0,0,0,0	96	-1
10719	2,2,4,1,3	0,2,0,0,0	9,3,5,3,5	0,0,0,0,0	123	-1
10720	14,4,12,6,7	7,5,8,10,10	20,15,31,28,21	18,7,26,24,17	23	-1
10721	12,6,15,6,4	7,5,8,10,10	23,23,14,9,20	18,7,26,24,17	86	-1
10723	43,42,65,61,52	0,0,0,0,0	147,96,166,141,98	0,0,3,3,0	104	-1
10724	17,22,20,27,22	0,0,0,0,0	139,94,146,147,89	1,1,0,0,0	156	-1
10725	9,13,12,10,10	0,0,0,0,0	112,84,124,110,40	0,1,0,0,0	124	-1
10726	4,6,2,6,14	0,0,0,0,0	24,42,54,50,31	2,1,1,1,0	45	-1
10730	1,0,0,3,0	0,0,0,2,0	8,7,11,10,5	0,0,1,0,1	212	-1
10731	1,0,3,2,3	4,1,3,3,5	21,10,9,5,9	34,26,53,33,15	11	-1
10732	0,0,0,0,0	0,0,0,1,0	1,0,0,0,1	2,0,0,0,0	11	-1
10733	206,162,134,207,139	3,0,0,2,2	1270,705,1276,727,888	0,0,3,2,1	165	-1
10734	1141,1153,1070,1234,1504	0,0,0,0,0	1737,735,1233,819,1182	0,0,2,0,0	120	-1
10735	2078,2182,2176,2279,2891	2,4,0,1,0	1879,841,1330,908,1216	0,0,1,0,3	110	-1
10736	41,42,42,46,26	0,0,0,0,0	62,29,60,38,41	2,0,1,0,0	103	-1
10737	62,55,66,74,43	0,0,0,0,0	101,52,104,67,69	2,0,1,0,0	140	-1
10738	43,47,42,39,42	0,0,0,1,1	112,65,118,105,80	1,0,1,1,0	90	-1
10741	2,2,9,0,4	0,0,0,0,0	58,48,91,68,39	1,0,0,0,0	87	-1
10742	7,12,9,5,7	0,0,0,0,0	22,16,50,26,17	0,0,0,1,0	124	-1
10743	2,7,5,8,11	0,0,0,0,0	25,16,18,22,28	0,0,1,0,1	141	-1
10744	18,24,14,20,18	0,0,0,0,0	39,17,44,21,32	0,0,1,0,0	100	-1
10745	28,45,32,29,28	2,6,1,1,1	33,19,33,20,29	2,0,0,0,2	56	-1
10746	446,540,583,668,575	0,1,0,0,0	251,242,313,285,265	0,0,0,0,0	138	-1
10748	1,0,0,3,4	0,0,0,0,2	8,9,6,5,3	2,1,5,1,0	53	-1
10749	1,0,0,0,0	2,0,0,2,4	0,0,0,0,0	3,5,3,3,3	122	-1
10751	0,2,0,0,0	0,0,0,0,0	12,6,3,10,4	0,0,0,0,2	151	-1
10753	10,22,14,30,24	0,0,0,0,0	53,75,83,58,47	1,0,0,0,0	81	-1
10754	10,17,14,11,10	2,0,0,0,0	52,60,57,66,37	0,0,0,0,0	96	-1
10755	6377,5946,6232,6439,7259	0,0,0,1,2	3929,4703,3918,3432,3314	0,3,0,1,0	98	-1
10756	2968,2853,3176,2980,3590	2,5,2,5,5	2292,3269,2299,2029,1956	3,3,2,5,2	53	-1
10759	522,672,964,720,644	0,0,0,1,0	530,558,736,634,493	0,0,0,0,0	95	-1
10765	0,0,0,0,1	1,2,0,0,0	0,0,1,0,0	1,1,3,0,1	147	-1
10766	28,54,46,34,32	0,0,2,4,0	24,44,50,35,35	0,0,0,0,0	118	-1
10767	112,103,105,82,131	0,0,0,0,0	64,56,79,95,74	0,0,2,0,0	70	-1
10768	12,28,34,22,16	0,0,0,0,0	45,43,60,49,36	0,2,0,0,0	104	-1
10769	13,21,17,22,13	1,0,0,0,0	40,27,54,42,43	0,3,0,2,0	82	-1
10772	546,556,569,597,506	0,0,0,0,0	956,657,1031,895,688	0,0,0,0,1	92	-1
10773	71,60,73,75,54	144,154,167,158,135	79,60,107,80,43	258,165,325,203,150	158	-1
10774	41,34,42,46,29	2,0,0,0,0	56,30,68,52,20	0,0,0,0,0	158	-1
10775	458,534,519,557,436	2,0,0,0,0	698,447,696,550,415	0,0,0,0,0	155	-1
